Student ID,Password,Name,Email ID ,Math Percentile,Physics Percentile,Chemistry Percentile,Total Percentile,Preference 1,Preference 2,Preference 3,Status,PCM_12TH,Freeze,Float,Withdraw
EN2023001,admin123,Nishi Dwivedi,nishidwivedi@gmail.com,98.59,95.9,97.89,97.46,6142 Comp,2140 IT,1890 Comp,0,90.2,0,0,0
EN2023002,admin123,Traushi Nimje,tarushinimje@gmail.com,99.92,98.95,97.2,98.69,1890 Comp,2144 IT,1256 Comp,0,82.34,0,0,0
EN2023003,admin123,Akash Sharma,akashsharma@gmail.com,92.23,90.6,79.23,87.35,6142 ENTC,1256 Comp,1256 IT,0,77.5,0,0,0
EN2023004,admin123,Sakshi Chavan,sakshichavan@gmail.com,95.95,99.2,80.79,91.98,2140 Comp,6142 ENTC,2144 IT,0,95.67,0,0,0
EN2023005,admin123,Vedantika Jadhav,vedantikajadhav@gmail.com,91.91,90.12,75.39,85.8,2144 ENTC,1256 IT,2140 ENTC,0,83.46,0,0,0
EN2023006,admin123,Shaina Bhatia,shainabhatia@gmail.com,90.05,85.3,77.69,80.1,1256 Comp,1290 IT,2144 IT,0,89.12,0,0,0
EN2023007,admin123,Vijay Awatade,vijayawatade@gmail.com,99.4,98.99,99.92,99.5,1566 Comp,3127 Comp,9091 Comp,0,78.12,0,0,0
EN2023008,admin123,Kavya Sinha,kavyasinha@gmail.com,95.7,92.12,90.34,92.72,1109 ENTC,4522 IT,2144 ENTC,0,90.2,0,0,0
EN2023009,admin123,Pranaya Warrier,pranayawarrier@gmail.com,89.78,80.12,78.85,82.91,2140 Comp,6142 IT,1566 Comp,0,75.12,0,0,0
EN2023010,admin123,Arinjay Thakur,arinjaythakur@gmail.com,90.23,89.12,79.9,85.41,1256 Comp,1890 IT,1256 IT,0,79.9,0,0,0
EN2023011,admin123,Rohit Jaiswal,rohitjaiswal@gmail.com,89.23,67.12,56.78,71.04,1566 ENTC,3127 IT,6142 IT,0,92.23,0,0,0
EN2023012,admin123,Arya Lende,aryalende@gmail.com,90.45,99.24,99.12,96.47,1256 IT,4522 Comp,1109 Comp,0,94.56,0,0,0
EN2023013,admin123,Kaiwalya Todkar,kaiwalyatodkar@gmail.com,88.12,68.89,94.23,83.45,2144 Comp,6142 Comp,4522 Comp,0,89.23,0,0,0
EN2023014,admin123,Gouri Dhampalwar,gouridhampalwar@gmail.com,99.23,89.88,90.45,93.18,2140 Comp,1256 IT,9091 IT,0,80.8,0,0,0
EN2023015,admin123,Angad Bedi,angadbedi@gmail.com,89.53,30.23,93.12,70.96,1109 Comp,1109 IT,1109 Entc,0,79.45,0,0,0
EN2023016,admin123,Khushi Sharma,khushisharma@gmail.com,78.89,91.56,93.12,87.85,1566 IT,3127 IT,6142 IT,0,86.78,0,0,0
EN2023017,admin123,Roselin Vase,roselinvase@gmail.com,97.67,92.13,95.67,95.15,1890 Comp,1566 IT,2144 IT,0,87.45,0,0,0
EN2023018,admin123,Soham Thorat,sohamthorat@gmail.com,89.12,78.22,89.23,85.53,4522 ENTC,6142 IT,6142 Comp,0,95.56,0,0,0
EN2023019,admin123,Aaditya Prasade,aadityaprasade@gmail.com,78.45,12.45,90.23,60.37,3127 IT,9091 Comp,6142 IT,0,97.67,0,0,0
EN2023020,admin123,Devika Maithania,devikamaithania@gmail.com,92.12,90.22,98.12,91.12,1109 ENTC,1566 IT,2144 ENTC,0,90.6,0,0,0
